Location,CowTagID,lat,lon,dist_to_seep_m
Varari,V1,-17.53975298,-149.900506,138.8887466163881
Varari,V10,-17.54030501,-149.899788,48.50883372723496
Varari,V11,-17.54019303,-149.900068,79.1628654576409
Varari,V12,-17.54030996,-149.900112,82.90297374776212
Varari,V14,-17.54039696,-149.899396,12.6231845635526
Varari,V15,-17.54014299,-149.900183,92.1505184174103
Varari,V16,-17.54029797,-149.900492,123.23366881324081
Varari,V17,-17.54031901,-149.899572,25.650620437527206
Varari,V18,-17.54019697,-149.899906,62.142456467864776
Varari,V19,-17.54050802,-149.89978,52.88953478112327
Varari,V2,-17.53989003,-149.900519,134.17932919465028
Varari,V20,-17.54045103,-149.899509,25.143455195536596
Varari,V3,-17.54012598,-149.90056,131.9140795925478
Varari,V4,-17.54024902,-149.900454,119.34522034056931
Varari,V5,-17.54025003,-149.900336,106.83120808576327
Varari,V6,-17.54002498,-149.900106,87.85163569395478
Varari,V7,-17.54004803,-149.899985,74.95438051545834
Varari,V8,-17.54014903,-149.899896,62.34195112810806
Varari,V9,-17.540245,-149.899765,46.50132202541964
Varari,V13,-17.540749,-149.899133,-54.01600899626882
Cabral,C1,-17.517048,-149.912693,76.29322557554765
Cabral,C10,-17.51588602,-149.912912,69.63619016788121
Cabral,C11,-17.51598098,-149.913194,84.90271522636934
Cabral,C12,-17.51595701,-149.913303,96.21351219849771
Cabral,C13,-17.51557102,-149.913136,111.96574925791715
Cabral,C14,-17.51652597,-149.913031,57.01163100917717
Cabral,C15,-17.51721597,-149.913056,108.9760650731409
Cabral,C16,-17.51723299,-149.912976,106.42820127566131
Cabral,C17,-17.51721203,-149.912771,96.09861800986592
Cabral,C18,-17.51757103,-149.912982,141.13325733415377
Cabral,C19,-17.51770397,-149.912893,152.3190849385199
Cabral,C2,-17.51706904,-149.912949,89.09540482166958
Cabral,C20,-17.51692303,-149.912724,63.97503589915109
Cabral,C3,-17.51697499,-149.913111,91.27558811004329
Cabral,C4,-17.51679302,-149.912772,53.08002050016565
Cabral,C5,-17.51659596,-149.912877,45.09468353402524
Cabral,C6,-17.51653796,-149.913134,67.9098688110496
Cabral,C7,-17.51630402,-149.913229,76.31773751181336
Cabral,C8,-17.51632397,-149.91291,42.46143981018337
Cabral,C9,-17.51639103,-149.913111,63.27483281553596
Varari,VSEEP,-17.540302,-149.899331,0
Cabral,CSEEP,-17.516384,-149.912515,0
