Location,CowTagID,del15N,C_N,N_percent
Varari,V1,5,27.69463087248322,1.108259883223623
Varari,V2,4.8,30.28793774319066,1.0367919961271583
Varari,V3,4.3,29.70921985815603,1.116301163803341
Varari,V4,4,29.212121212121215,1.1182649949169774
Varari,V5,4.1,33.603846153846156,1.013368671317769
Varari,V6,5,28.411149825783973,1.1610032362459548
Varari,V7,4.7,28.986254295532646,1.1191877235490943
Varari,V8,5.1,28.970149253731343,1.0833535451532055
Varari,V9,3.9,31.95864661654135,1.0175975516449887
Varari,V10,4,28.625874125874127,1.155275488770399
Varari,V11,4.3,31.087248322147648,1.1118573240802925
Varari,V12,4.4,31.0381679389313,1.0080412450463623
Varari,V13,3.9,34.635999999999996,0.9785501800532331
Varari,V14,4.7,25.52012383900929,1.2139206253758266
Varari,V15,4.7,28.492481203007518,1.120094323732525
Varari,V16,3.6,35.772532188841204,0.930734201485979
Varari,V17,4.4,29.85409252669039,1.0746930814242552
Varari,V18,4.6,30.38783269961977,1.0523788563882999
Varari,V19,3.9,30.94736842105263,1.0290809099241731
Varari,V20,4,30.212927756653993,1.099130725509863
Varari,Sand_SGD_1,7.5,23.096774193548388,1.2651652877230735
Varari,Reef_SGD_1,4.3,30.72972972972973,0.9973429858677654
Varari,Reef_Ambient_1,4.1,31.44396551724138,0.9370329981017003
Varari,Sand_Ambient_1,4.4,32.62621359223301,0.8532493890568695
Varari,Reef_SGD_2,4.4,25.40924092409241,1.1556945609886338
Varari,Reef_Ambient_2,4.2,31.708333333333336,0.9706596073240679
Varari,Sand_SGD_2,4.9,28.976377952755907,1.023945819559784
Varari,Sand_Ambient_2,4.5,30.346613545816734,0.9790919020127945
Varari,Reef_SGD_3,5.3,25.09090909090909,1.1992619926199262
Varari,Reef_Ambient_3,4.2,34.413953488372094,0.8674951581665589
Varari,VSEEP,7.2,22.51840490797546,1.2382724959167397
Varari,Sand_Ambient_3,4.1,34.19815668202765,0.8090976882923193
